Zone code,Region/Countries/Area,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
1,"Total, all countries or areas",1995,Imports CIF (millions of US dollars),,,"5,099,057",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2005,Imports CIF (millions of US dollars),,,"10,577,013",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2010,Imports CIF (millions of US dollars),,,"15,275,115",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2015,Imports CIF (millions of US dollars),,,"16,482,346",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2020,Imports CIF (millions of US dollars),,,"17,598,001",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2021,Imports CIF (millions of US dollars),,,"22,226,837",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2022,Imports CIF (millions of US dollars),,,"25,244,192",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",1995,Exports FOB (millions of US dollars),,,"5,050,238",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2005,Exports FOB (millions of US dollars),,,"10,373,445",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2010,Exports FOB (millions of US dollars),,,"15,102,218",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2015,Exports FOB (millions of US dollars),,,"16,384,279",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2020,Exports FOB (millions of US dollars),,,"17,351,681",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2021,Exports FOB (millions of US dollars),,,"21,932,797",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2022,Exports FOB (millions of US dollars),,,"24,553,001",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",1995,Balance imports/exports (millions of US dollars),,,"-48,819",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2005,Balance imports/exports (millions of US dollars),,,"-203,568",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2010,Balance imports/exports (millions of US dollars),,,"-172,897",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2015,Balance imports/exports (millions of US dollars),,,"-98,067",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2020,Balance imports/exports (millions of US dollars),,,"-246,319",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2021,Balance imports/exports (millions of US dollars),,,"-294,040",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2022,Balance imports/exports (millions of US dollars),,,"-691,191",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,1995,Imports CIF (millions of US dollars),,,"114,352",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2005,Imports CIF (millions of US dollars),,,"246,228",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2010,Imports CIF (millions of US dollars),,,"468,435",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2015,Imports CIF (millions of US dollars),,,"547,529",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2020,Imports CIF (millions of US dollars),,,"498,727",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2021,Imports CIF (millions of US dollars),,,"600,406",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
