Zone code,Region/Countries/Area,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
666,Saint Pierre and Miquelon,1995,Imports CIF (millions of US dollars),S,,96,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
666,Saint Pierre and Miquelon,2005,Imports CIF (millions of US dollars),S,,216,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
666,Saint Pierre and Miquelon,2010,Imports CIF (millions of US dollars),S,,747,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
666,Saint Pierre and Miquelon,2015,Imports CIF (millions of US dollars),S,,"2,259",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
666,Saint Pierre and Miquelon,2020,Imports CIF (millions of US dollars),S,,"4,402",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
666,Saint Pierre and Miquelon,2021,Imports CIF (millions of US dollars),S,,"5,008",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
666,Saint Pierre and Miquelon,1995,Exports FOB (millions of US dollars),S,,16,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
666,Saint Pierre and Miquelon,2005,Exports FOB (millions of US dollars),S,,31,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
666,Saint Pierre and Miquelon,2010,Exports FOB (millions of US dollars),S,,137,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
666,Saint Pierre and Miquelon,2015,Exports FOB (millions of US dollars),S,,533,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
666,Saint Pierre and Miquelon,2020,Exports FOB (millions of US dollars),S,,"1,328",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
666,Saint Pierre and Miquelon,2021,Exports FOB (millions of US dollars),S,,"1,587",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
666,Saint Pierre and Miquelon,1995,Balance imports/exports (millions of US dollars),S,,-80,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
666,Saint Pierre and Miquelon,2005,Balance imports/exports (millions of US dollars),S,,-185,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
666,Saint Pierre and Miquelon,2010,Balance imports/exports (millions of US dollars),S,,-610,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
666,Saint Pierre and Miquelon,2015,Balance imports/exports (millions of US dollars),S,,"-1,726",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
666,Saint Pierre and Miquelon,2020,Balance imports/exports (millions of US dollars),S,,"-3,074",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
666,Saint Pierre and Miquelon,2021,Balance imports/exports (millions of US dollars),S,,"-3,421",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
670,Saint Vincent & Grenadines,1995,Imports CIF (millions of US dollars),S,,134,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
670,Saint Vincent & Grenadines,2005,Imports CIF (millions of US dollars),S,,240,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
670,Saint Vincent & Grenadines,2010,Imports CIF (millions of US dollars),S,,379,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
670,Saint Vincent & Grenadines,2015,Imports CIF (millions of US dollars),S,,334,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
670,Saint Vincent & Grenadines,2020,Imports CIF (millions of US dollars),S,,321,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
670,Saint Vincent & Grenadines,2021,Imports CIF (millions of US dollars),S,,372,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
670,Saint Vincent & Grenadines,2022,Imports CIF (millions of US dollars),S,,482,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
670,Saint Vincent & Grenadines,1995,Exports FOB (millions of US dollars),S,,59,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
670,Saint Vincent & Grenadines,2005,Exports FOB (millions of US dollars),S,,40,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
670,Saint Vincent & Grenadines,2010,Exports FOB (millions of US dollars),S,,42,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
670,Saint Vincent & Grenadines,2015,Exports FOB (millions of US dollars),S,,47,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
670,Saint Vincent & Grenadines,2020,Exports FOB (millions of US dollars),S,,55,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
670,Saint Vincent & Grenadines,2021,Exports FOB (millions of US dollars),S,,35,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
670,Saint Vincent & Grenadines,2022,Exports FOB (millions of US dollars),S,,47,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
670,Saint Vincent & Grenadines,1995,Balance imports/exports (millions of US dollars),S,,-75,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
670,Saint Vincent & Grenadines,2005,Balance imports/exports (millions of US dollars),S,,-201,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
670,Saint Vincent & Grenadines,2010,Balance imports/exports (millions of US dollars),S,,-338,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
